Classification_threshold,F1 Score,Precision,Recall,ROCAUC,True Negative,True Positive,False Postive,False Negative
0.05,0.4630639563708478,0.30129032258064514,1.0,0.5815301391035549,211,467,1083,0
0.1,0.5076419213973798,0.34065934065934067,0.9957173447537473,0.6500997852053125,394,465,900,2
0.15000000000000002,0.5361305361305361,0.36829463570856685,0.9850107066381156,0.6876367288986559,505,460,789,7
0.2,0.556713672593501,0.3900343642611684,0.9721627408993576,0.7117382483476695,584,454,710,13
0.25,0.5801427644386761,0.41620111731843573,0.9571734475374732,0.7363146990392158,667,447,627,20
0.3,0.6058944482522276,0.44556451612903225,0.9464668094218416,0.7607140847727446,744,442,550,25
0.35000000000000003,0.6164874551971326,0.46336206896551724,0.9207708779443254,0.7679588547372324,796,430,498,37
0.4,0.6263982102908278,0.4805491990846682,0.8993576017130621,0.7742537622166548,840,420,454,47
0.45,0.6402486402486403,0.5024390243902439,0.8822269807280514,0.7834627948462514,886,412,408,55
0.5,0.6547522339561331,0.5274869109947644,0.8629550321199143,0.7919875624278087,933,403,361,64
0.55,0.6519823788546254,0.5538922155688623,0.7922912205567452,0.7809987787482335,996,370,298,97
0.6000000000000001,0.6484962406015037,0.5778894472361809,0.7387580299785867,0.7720065265812563,1042,345,252,122
0.6500000000000001,0.6450960566228514,0.6111111111111112,0.683083511777302,0.7631028068932878,1091,319,203,148
0.7000000000000001,0.6406926406926408,0.6477024070021882,0.6338329764453962,0.7547062872953411,1133,296,161,171
0.7500000000000001,0.5955882352941176,0.6962750716332379,0.5203426124197003,0.7192130372763107,1188,243,106,224
0.8,0.5211267605633804,0.7613168724279835,0.3961456102783726,0.6756616768547967,1236,185,58,282
0.8500000000000001,0.37603993344425957,0.8432835820895522,0.24197002141327623,0.6128706366726351,1273,113,21,354
0.9000000000000001,0.04602510460251046,1.0,0.023554603854389723,0.5117773019271948,1294,11,0,456
